id,product,prices
1801,Coffee - 10oz Cup 92961,59.0
1802,"Turkey - Breast, Bone - In",45.0
1803,Tea - Grapefruit Green Tea,43.0
1804,Pear - Prickly,59.0
1805,Longos - Grilled Chicken With,62.0
1806,"Tart Shells - Sweet, 3",34.0
1807,"Mushroom - Chanterelle, Dry",79.0
1808,Boogies,33.0
1810,Table Cloth 54x54 White,13.0
1811,Bread - Focaccia Quarter,38.0
1812,Asparagus - Mexican,41.0
1813,"Soup - French Onion, Dry",47.0
1814,"Flour - Corn, Fine",64.0
1815,Bagelers - Cinn / Brown Sugar,76.0
1816,Caviar - Salmon,42.0
1817,"Pepper - White, Ground",25.0
1819,Pants Custom Dry Clean,83.0
1821,"Fish - Artic Char, Cold Smoked",3.0
1822,Coffee - Flavoured,76.0
1823,Raspberries - Frozen,62.0
1824,Chocolate Bar - Coffee Crisp,60.0
1825,Curry Powder,75.0
1827,Cheese - Cheddar With Claret,57.0
1829,Veal - Provimi Inside,36.0
1832,Wine - Cava Aria Estate Brut,35.0
1834,Temperature Recording Station,37.0
1836,Soup - Campbells Beef Noodle,44.0
1838,"Mushroom - Porcini, Dry",51.0
1839,Oil - Avocado,71.0
1840,Shrimp - Black Tiger 6 - 8,63.0
1841,"Wine - White, Cooking",44.0
1842,Cinnamon Rolls,66.0
1843,Watercress,38.0
1845,"Doilies - 10, Paper",53.0
1846,Eggs - Extra Large,34.0
1847,Cocoa Butter,79.0
1848,Container - Foam Dixie 12 Oz,65.0
1850,"Bread - Rolls, Rye",82.0
1851,Oranges,43.0
1852,Cheese - Ricotta,42.0
1853,Coffee - Egg Nog Capuccino,44.0
1854,"Seedlings - Buckwheat, Organic",26.0
1856,Soup - Campbells Tomato Ravioli,71.0
1859,Sauce - Chili,55.0
1860,Wine - Chablis 2003 Champs,39.0
1861,Pork - Ground,70.0
1862,Flour - Masa De Harina Mexican,7.0
1863,"Juice - Apple, 500 Ml",71.0
1865,Vinegar - Sherry,45.0
1866,Figs,35.0
1869,Wiberg Super Cure,64.0
1870,Sobe - Orange Carrot,65.0
1871,"Vermacelli - Sprinkles, Assorted",2.0
1872,Jicama,55.0
1874,Calypso - Black Cherry Lemonade,57.0
1875,Honey - Lavender,64.0
1876,Pork - Shoulder,58.0
1878,Beans - Kidney White,37.0
1879,Eggplant - Baby,64.0
1881,"Salmon - Atlantic, No Skin",69.0
1884,Kohlrabi,55.0
1885,Coconut - Whole,74.0
1886,Salt - Celery,77.0
1887,Soup Campbells - Italian Wedding,40.0
1888,Appetizer - Southwestern,25.0
1889,Nantucket - Kiwi Berry Cktl.,35.0
1890,"Tortillas - Flour, 12",49.0
1892,Pizza Pizza Dough,42.0
1893,"Napkin - Cocktail,beige 2 - Ply",57.0
1894,Apple - Fuji,42.0
1895,"Tea - Darjeeling, Azzura",41.0
1899,"Sprite, Diet - 355ml",66.0
1900,Swiss Chard - Red,14.0
1901,Bread Sour Rolls,43.0
1902,"Wine - Harrow Estates, Vidal",72.0
1903,Oven Mitts 17 Inch,68.0
1906,Soup - Verve - Chipotle Chicken,31.0
1907,The Pop Shoppe - Root Beer,61.0
1908,"Pork - Tenderloin, Frozen",30.0
1909,Ecolab - Solid Fusion,15.0
1910,Soup Campbells Mexicali Tortilla,63.0
1912,"Fish - Halibut, Cold Smoked",62.0
1913,Snapple - Mango Maddness,51.0
1915,Lettuce - Frisee,70.0
1916,Bread - Pumpernickel,26.0
1917,Garlic,63.0
1919,"Pepper - Julienne, Frozen",83.0
1920,Croissants Thaw And Serve,83.0
1921,"Veal - Insides, Grains",49.0
1922,Sobe - Liz Blizz,9.0
1923,Tofu - Firm,70.0
1924,Pancetta,23.0
1925,Bay Leaf,53.0
1926,Beer - Rickards Red,77.0
1927,Chocolate - Sugar Free Semi Choc,42.0
1928,Tia Maria,53.0
1930,Mahi Mahi,66.0
1931,Wine - Jafflin Bourgongone,26.0
1932,Flour - Rye,65.0
1933,Vodka - Smirnoff,43.0
1934,"Juice - Tomato, 10 Oz",28.0
1935,Ice Cream Bar - Drumstick,30.0
1938,"Soup - Knorr, Veg / Beef",74.0
1941,Dried Figs,74.0
1943,"Beans - Fava, Canned",81.0
1948,Trueblue - Blueberry Cranberry,43.0
1950,Tofu - Soft,65.0
1952,Strawberries - California,42.0
1954,Syrup - Pancake,49.0
1955,Tilapia - Fillets,54.0
1957,Parsley - Fresh,52.0
1958,Lemonade - Pineapple Passion,30.0
1960,Green Tea Refresher,53.0
1963,Milk - Skim,64.0
1965,Beets - Pickled,68.0
1967,"Champagne - Brights, Dry",73.0
1968,Soup Bowl Clear 8oz92008,81.0
1971,Sprouts Dikon,24.0
1972,"Pork - Bacon,back Peameal",36.0
1973,Ecolab Silver Fusion,56.0
1976,Juice - Apple Cider,39.0
1977,Dip - Tapenade,79.0
1978,Wine - Magnotta - Cab Franc,13.0
1979,Appetiser - Bought,25.0
1980,Salad Dressing,50.0
1982,Long Island Ice Tea,89.0
1983,Mustard - Seed,63.0
1985,Sauce - Plum,68.0
1986,Rappini - Andy Boy,38.0
1987,"Tart Shells - Savory, 3",62.0
1989,Steampan - Foil,73.0
1990,Chicken - Base,87.0
1992,Lid Tray - 12in Dome,46.0
1993,Table Cloth 53x53 White,35.0
1994,Durian Fruit,54.0
1996,Chinese Foods - Plain Fried Rice,43.0
1997,"Wine - White, Ej Gallo",73.0
1999,Sugar - Fine,61.0
